brand;package;type;startdatum;inflow;inflow_winback;inflow_transformers;outflow_switchers;outflow_transformers;inflow_regular
BVL;DIGI;BASE;31/01/2015;1;0.0;2.0;0.0;0.0;0.0
BVL;DIGI;BASE;28/02/2015;5;0.0;5.0;4.0;7.0;0.0
BVL;DIGI;BASE;31/03/2015;4;0.0;8.0;5.0;4.0;0.0
BVL;DIGI;BASE;30/04/2015;14;0.0;6.0;14.0;6.0;0.0
BVL;DIGI;BASE;31/05/2015;3;0.0;5.0;5.0;3.0;0.0
BVL;DIGI;BASE;30/06/2015;118;0.0;9.0;127.0;5.0;0.0
BVL;DIGI;BASE;31/07/2015;208;1.0;9.0;206.0;3.0;0.0
BVL;DIGI;BASE;31/08/2015;70;1.0;6.0;72.0;5.0;0.0
BVL;DIGI;BASE;30/09/2015;42;1.0;5.0;38.0;3.0;2.0
BVL;DIGI;BASE;31/10/2015;33;0.0;13.0;32.0;3.0;1.0
BVL;DIGI;BASE;30/11/2015;9;0.0;13.0;11.0;0.0;2.0
BVL;DIGI;BASE;31/12/2015;55;0.0;23.0;56.0;3.0;4.0
BVL;DIGI;BASE;31/01/2016;110;0.0;8.0;110.0;5.0;4.0
BVL;DIGI;BASE;29/02/2016;115;0.0;26.0;125.0;2.0;3.0
BVL;DIGI;BASE;31/03/2016;18;1.0;22.0;16.0;2.0;4.0
BVL;DIGI;BASE;30/04/2016;9;2.0;23.0;9.0;2.0;10.0
BVL;DIGI;BASE;31/05/2016;10;0.0;19.0;11.0;3.0;3.0
BVL;DIGI;BASE;30/06/2016;11;0.0;25.0;12.0;4.0;9.0
BVL;DIGI;BASE;31/07/2016;14;2.0;30.0;17.0;6.0;10.0
BVL;DIGI;BASE;31/08/2016;13;0.0;26.0;14.0;2.0;2.0
BVL;DIGI;BASE;30/09/2016;18;2.0;16.0;17.0;7.0;6.0
BVL;DIGI;BASE;31/10/2016;15;1.0;22.0;14.0;4.0;1.0
BVL;DIGI;BASE;30/11/2016;5;0.0;17.0;9.0;4.0;2.0
BVL;DIGI;BASE;31/12/2016;11;1.0;23.0;18.0;1.0;3.0
BVL;DIGI;BASE;31/01/2017;19;0.0;59.0;15.0;5.0;3.0
BVL;DIGI;BASE;28/02/2017;12;1.0;65.0;12.0;3.0;5.0
BVL;DIGI;BASE;31/03/2017;13;1.0;40.0;11.0;4.0;6.0
BVL;DIGI;BASE;30/04/2017;8;0.0;36.0;11.0;2.0;1.0
BVL;DIGI;BASE;31/05/2017;13;2.0;59.0;12.0;8.0;6.0
BVL;DIGI;BASE;30/06/2017;16;1.0;33.0;16.0;7.0;2.0
BVL;DIGI;BASE;31/07/2017;17;6.0;33.0;13.0;5.0;14.0
BVL;DIGI;BASE;31/08/2017;10;1.0;24.0;12.0;4.0;3.0
BVL;DIGI;BASE;30/09/2017;17;2.0;37.0;19.0;5.0;5.0
BVL;DIGI;BASE;31/10/2017;18;0.0;47.0;16.0;10.0;3.0
BVL;DIGI;BASE;30/11/2017;11;1.0;36.0;13.0;5.0;6.0
BVL;DIGI;BASE;31/12/2017;23;5.0;33.0;22.0;6.0;6.0
BVL;DIGI;BASE;31/01/2018;26;0.0;22.0;27.0;10.0;9.0
BVL;DIGI;BASE;28/02/2018;16;2.0;20.0;15.0;4.0;8.0
BVL;DIGI;BASE;31/03/2018;15;2.0;24.0;13.0;5.0;4.0
BVL;DIGI;BASE;30/04/2018;14;1.0;35.0;13.0;3.0;7.0
BVL;DIGI;BASE;31/05/2018;11;0.0;58.0;13.0;6.0;3.0
BVL;DIGI;BASE;30/06/2018;16;1.0;55.0;14.0;8.0;10.0
BVL;DIGI;BASE;31/07/2018;17;1.0;58.0;20.0;6.0;13.0
BVL;DIGI;BASE;31/08/2018;17;0.0;45.0;22.0;8.0;12.0
BVL;DIGI;BASE;30/09/2018;21;1.0;78.0;22.0;14.0;9.0
BVL;DIGI;BASE;31/10/2018;14;0.0;78.0;14.0;10.0;9.0
BVL;DIGI;BASE;30/11/2018;13;5.0;101.0;9.0;5.0;10.0
BVL;DIGI;BASE;31/12/2018;26;1.0;80.0;28.0;9.0;11.0
BVL;DIGI;BASE;31/01/2019;28;1.0;66.0;33.0;18.0;8.0
BVL;DIGI;BASE;28/02/2019;26;1.0;67.0;27.0;19.0;4.0
BVL;DIGI;BASE;31/03/2019;22;3.0;78.0;21.0;13.0;7.0
BVL;DIGI;BASE;30/04/2019;28;5.0;63.0;22.0;10.0;4.0
BVL;DIGI;BASE;31/05/2019;29;2.0;48.0;28.0;10.0;3.0
BVL;DIGI;BASE;30/06/2019;28;0.0;47.0;33.0;10.0;6.0
BVL;DIGI;BASE;31/07/2019;28;0.0;67.0;26.0;16.0;6.0
BVL;DIGI;BASE;31/08/2019;15;4.0;62.0;13.0;10.0;8.0
BVL;DIGI;BASE;30/09/2019;32;2.0;57.0;32.0;10.0;4.0
BVL;DIGI;BASE;31/10/2019;27;3.0;71.0;28.0;8.0;5.0
BVL;DIGI;BASE;30/11/2019;20;2.0;48.0;15.0;3.0;7.0
BVL;DIGI;BASE;31/12/2019;16;2.0;11.0;15.0;2.0;6.0
BVL;DIGI;BASE;31/01/2020;22;2.0;14.0;18.0;3.0;7.0
BVL;DIGI;BASE;29/02/2020;21;1.0;39.0;24.0;12.0;13.0
BVL;DIGI;BASE;31/03/2020;25;0.0;43.0;28.0;8.0;4.0
BVL;DIGI;BASE;30/04/2020;34;2.0;35.0;31.0;7.0;5.0
BVL;DIGI;BASE;31/05/2020;32;0.0;50.0;30.0;7.0;3.0
BVL;DIGI;BASE;30/06/2020;25;1.0;36.0;24.0;8.0;7.0
BVL;DIGI;BASE;31/07/2020;23;0.0;40.0;26.0;3.0;2.0
BVL;DIGI;BASE;31/08/2020;25;1.0;18.0;24.0;1.0;3.0
BVL;DIGI;BASE;30/09/2020;7;0.0;1.0;7.0;1.0;0.0
BVL;DIGI;PROMO;31/01/2015;1;0.0;2.0;1.0;0.0;3.0
BVL;DIGI;PROMO;28/02/2015;2;0.0;3.0;2.0;2.0;1.0
BVL;DIGI;PROMO;31/03/2015;4;0.0;5.0;3.0;3.0;2.0
BVL;DIGI;PROMO;30/04/2015;5;0.0;9.0;4.0;3.0;1.0
BVL;DIGI;PROMO;31/05/2015;3;0.0;7.0;4.0;5.0;1.0
BVL;DIGI;PROMO;30/06/2015;5;1.0;5.0;7.0;9.0;3.0
BVL;DIGI;PROMO;31/07/2015;16;0.0;21.0;5.0;8.0;10.0
BVL;DIGI;PROMO;31/08/2015;5;1.0;7.0;6.0;5.0;22.0
BVL;DIGI;PROMO;30/09/2015;5;1.0;7.0;11.0;16.0;37.0
BVL;DIGI;PROMO;31/10/2015;5;3.0;5.0;7.0;9.0;44.0
BVL;DIGI;PROMO;30/11/2015;6;1.0;7.0;5.0;6.0;28.0
BVL;DIGI;PROMO;31/12/2015;7;4.0;13.0;5.0;11.0;32.0
BVL;DIGI;PROMO;31/01/2016;4;2.0;10.0;10.0;21.0;24.0
BVL;DIGI;PROMO;29/02/2016;7;1.0;12.0;10.0;6.0;23.0
BVL;DIGI;PROMO;31/03/2016;13;2.0;13.0;11.0;11.0;26.0
BVL;DIGI;PROMO;30/04/2016;9;2.0;20.0;9.0;7.0;34.0
BVL;DIGI;PROMO;31/05/2016;9;3.0;10.0;8.0;5.0;31.0
BVL;DIGI;PROMO;30/06/2016;7;2.0;8.0;6.0;5.0;29.0
BVL;DIGI;PROMO;31/07/2016;7;2.0;11.0;8.0;6.0;30.0
BVL;DIGI;PROMO;31/08/2016;7;4.0;13.0;6.0;7.0;19.0
BVL;DIGI;PROMO;30/09/2016;7;4.0;10.0;6.0;5.0;36.0
BVL;DIGI;PROMO;31/10/2016;3;1.0;4.0;4.0;6.0;29.0
BVL;DIGI;PROMO;30/11/2016;1;1.0;5.0;3.0;3.0;17.0
BVL;DIGI;PROMO;31/12/2016;4;2.0;10.0;12.0;10.0;30.0
BVL;DIGI;PROMO;31/01/2017;6;2.0;9.0;10.0;13.0;21.0
BVL;DIGI;PROMO;28/02/2017;5;1.0;9.0;6.0;12.0;29.0
BVL;DIGI;PROMO;31/03/2017;10;3.0;10.0;11.0;10.0;13.0
BVL;DIGI;PROMO;30/04/2017;4;0.0;8.0;9.0;10.0;20.0
BVL;DIGI;PROMO;31/05/2017;7;1.0;8.0;9.0;6.0;18.0
BVL;DIGI;PROMO;30/06/2017;5;2.0;5.0;11.0;9.0;22.0
BVL;DIGI;PROMO;31/07/2017;12;3.0;14.0;9.0;7.0;48.0
BVL;DIGI;PROMO;31/08/2017;12;5.0;15.0;7.0;4.0;32.0
BVL;DIGI;PROMO;30/09/2017;7;2.0;9.0;6.0;12.0;32.0
BVL;DIGI;PROMO;31/10/2017;6;4.0;7.0;9.0;10.0;34.0
BVL;DIGI;PROMO;30/11/2017;5;1.0;7.0;6.0;7.0;38.0
BVL;DIGI;PROMO;31/12/2017;5;2.0;8.0;9.0;9.0;40.0
BVL;DIGI;PROMO;31/01/2018;13;2.0;15.0;16.0;15.0;29.0
BVL;DIGI;PROMO;28/02/2018;7;4.0;11.0;10.0;3.0;63.0
BVL;DIGI;PROMO;31/03/2018;15;5.0;17.0;8.0;6.0;97.0
BVL;DIGI;PROMO;30/04/2018;7;2.0;7.0;10.0;9.0;44.0
BVL;DIGI;PROMO;31/05/2018;16;5.0;13.0;15.0;10.0;56.0
BVL;DIGI;PROMO;30/06/2018;12;1.0;10.0;9.0;7.0;66.0
BVL;DIGI;PROMO;31/07/2018;14;4.0;16.0;7.0;15.0;62.0
BVL;DIGI;PROMO;31/08/2018;10;4.0;10.0;11.0;12.0;61.0
BVL;DIGI;PROMO;30/09/2018;10;5.0;9.0;12.0;8.0;68.0
BVL;DIGI;PROMO;31/10/2018;13;6.0;17.0;9.0;10.0;56.0
BVL;DIGI;PROMO;30/11/2018;19;5.0;25.0;10.0;9.0;56.0
BVL;DIGI;PROMO;31/12/2018;13;2.0;21.0;8.0;10.0;15.0
BVL;DIGI;PROMO;31/01/2019;8;3.0;12.0;19.0;8.0;14.0
BVL;DIGI;PROMO;28/02/2019;14;1.0;11.0;15.0;10.0;13.0
BVL;DIGI;PROMO;31/03/2019;20;4.0;18.0;18.0;10.0;21.0
BVL;DIGI;PROMO;30/04/2019;8;3.0;12.0;11.0;10.0;5.0
BVL;DIGI;PROMO;31/05/2019;16;6.0;19.0;12.0;10.0;22.0
BVL;DIGI;PROMO;30/06/2019;13;5.0;16.0;8.0;4.0;14.0
BVL;DIGI;PROMO;31/07/2019;23;4.0;31.0;21.0;12.0;17.0
BVL;DIGI;PROMO;31/08/2019;20;3.0;25.0;18.0;16.0;20.0
BVL;DIGI;PROMO;30/09/2019;16;6.0;17.0;9.0;8.0;9.0
BVL;DIGI;PROMO;31/10/2019;12;2.0;12.0;12.0;11.0;6.0
BVL;DIGI;PROMO;30/11/2019;18;2.0;19.0;14.0;9.0;6.0
BVL;DIGI;PROMO;31/12/2019;7;0.0;17.0;8.0;7.0;10.0
BVL;DIGI;PROMO;31/01/2020;20;1.0;22.0;19.0;13.0;11.0
BVL;DIGI;PROMO;29/02/2020;15;0.0;17.0;13.0;9.0;4.0
BVL;DIGI;PROMO;31/03/2020;27;3.0;25.0;15.0;6.0;18.0
BVL;DIGI;PROMO;30/04/2020;28;7.0;24.0;16.0;10.0;13.0
BVL;DIGI;PROMO;31/05/2020;24;2.0;21.0;18.0;13.0;14.0
BVL;DIGI;PROMO;30/06/2020;14;2.0;15.0;13.0;10.0;11.0
BVL;DIGI;PROMO;31/07/2020;18;1.0;16.0;11.0;7.0;16.0
BVL;DIGI;PROMO;31/08/2020;10;0.0;11.0;10.0;7.0;8.0
BVL;DIGI;PROMO;30/09/2020;6;0.0;6.0;6.0;4.0;2.0
BVL;DIGI;TIE_IN;31/01/2015;1;0.0;0.0;0.0;1.0;108.0
BVL;DIGI;TIE_IN;28/02/2015;1;0.0;2.0;2.0;4.0;99.0
BVL;DIGI;TIE_IN;31/03/2015;3;0.0;1.0;4.0;2.0;50.0
BVL;DIGI;TIE_IN;30/04/2015;1;0.0;3.0;2.0;1.0;5.0
BVL;DIGI;TIE_IN;31/05/2015;1;0.0;2.0;2.0;4.0;67.0
BVL;DIGI;TIE_IN;30/06/2015;2;0.0;1.0;3.0;1.0;28.0
BVL;DIGI;TIE_IN;31/07/2015;1;0.0;0.0;1.0;2.0;31.0
BVL;DIGI;TIE_IN;31/08/2015;2;0.0;0.0;2.0;3.0;23.0
